212	2	7	1.6	316	26689	118	1.17	9	0	0	1
213	2	5	5.5	451	99195	168	2.15	22	0	0	1
214	2	5	5.88	465.5	110093	301	1.15	24	0	0	1
215	2	5	5.5	450	101820	191	2.15	23	0	0	1
216	2	6	3.4	362.3	98100	250	0.71	28	0	0	1
217	2	1	1	287.5	1122000	350	1.9	398	0	0	0
218	2	1	1	295.2	314000	200	1.92	108	0	0	0
219	2	5	5.05	465	710000	1800	2	156	0	0	1
220	2	2	2.62	322	70100	250	1.82	22	0	0	1
221	2	2	2.7	359	294300	520	2.4	84	0	0	1
222	2	5	5.8	470	68600	500	1.95	15	0	0	1
223	2	2	2.62	365	100000	375	3	28	0	0	1
224	2	5	5.05	443	200000	588	4	46	0	0	1
225	2	5	5.05	454	73500	445	1.56	17	0	0	1
226	2	2	2.6	299	1820000	2700	1.45	620	0	0	1
227	2	4	2	262	600500	1250	1.8	234	0	0	1
228	2	5	5	447	137000	269	2.8	31	0	0	1
229	2	2	2.72	257.7	792377	1075	1.95	313	0	0	1
230	2	2	2.4	342	78450	380	4	23	0	0	1
231	2	2	2.62	252	98067	330	4	40	0	0	1
232	2	4	2	315.5	2452	15.93	1.9	1	0	0	1
233	2	4	2.41	330	77629	207	1.53	24	0	0	1
234	2	6	2.4	360	100085	270	1	28	0	0	1
235	2	2	2.4	343	25800	55	1	8	0	0	1
236	2	5	5	310	43600	165	1	14	0	0	1
237	2	5	5.8	467	180000	280	2.15	39	0	0	1
238	2	2	2.36	348	981000	470	3.3	287	0	0	1
239	2	6	3.8	384	3500000	1360	4	931.2	0	0	1
240	2	2	2.6	360	22241	50	1.6	6	0	0	1
